video_id,title,channel,country,views,likes,comments,fetch_date,published_at
KDorKy-13ak,Kendrick Lamar's Apple Music Super Bowl Halftime Show,NFL,US,33079510,1633864,98574,11-02-2025,2025-02-10
lI4dq7ffQy0,Kendrick Lamar Disses Drake During Halftime Show Performance | Super Bowl 2025 | E! News,E! News,US,1475936,12629,5126,11-02-2025,2025-02-10
Y5vgBxUuNlc,"JAZZ at LAKERS | FULL GAME HIGHLIGHTS | February 10, 2025",NBA,US,1841263,31666,2906,11-02-2025,2025-02-11
hUUszE29jS0,Marvel Studios’ Thunderbolts* | Big Game Trailer | In Theaters May 2,Marvel Entertainment,US,9893431,204063,13864,11-02-2025,2025-02-09
jdX5xwV829s,The First Kiss in Brawl Stars!?,Brawl Stars,US,8354717,257108,17632,11-02-2025,2025-02-10
Y-WbqjhRdGE,Telling our FAMILY & FRIENDS we’re pregnant!🥺,LIL JERZ,US,145054,12841,740,11-02-2025,2025-02-11
T_KZaJ744c4,T-Pain reacts to Kendrick Lamar’s Super Bowl Halftime Show,Nappy Boy Gaming,US,542460,34742,1711,11-02-2025,2025-02-10
qFuODmwJesU,Kendrick Lamar Had The Worst Super Bowl Performance EVER!?,No Life Shaq,US,703272,40258,5948,11-02-2025,2025-02-10
axPGpMBZNx8,Top 10 Super Bowl Commercials of 2025,WatchMojo.com,US,448286,3129,2121,11-02-2025,2025-02-10
6ajnW0k0dM0,Kendrick Lamar's Super Bowl Performance Explained: Hidden Messages and Cultural Commentary,Bobby Foster,US,217159,12845,1269,11-02-2025,2025-02-10
W5VzQ8OV3X0,"DunKings 2: Super Bowl Commercial ft. Ben & Casey Affleck, Jeremy Strong, Bill Belichick, & Druski",Dunkin',US,2388660,2710,0,11-02-2025,2025-02-09
xAj-cpJ6cqQ,Real Life vs Hay Day: Which Decorating Challenge Is Easier?,Hay Day,US,565308,10392,601,11-02-2025,2025-02-11
hQfmvVZEMO8,Super Bowl 2025 LIVE: Chiefs vs. Eagles watch party in Kansas City,Associated Press,US,3968064,8832,2173,11-02-2025,2025-02-10
b0Ezn5pZE7o,So Win. | Nike,Nike,US,2818202,10613,721,11-02-2025,2025-02-10
r8c6Pxke9Rc,"Kendrick Lamar brings out Serena Williams, another dig at Drake, for Super Bowl 2025 halftime show",Page Six,US,786091,4630,1595,11-02-2025,2025-02-10
O5GU7vvvRgA,As it aired: the Trump pregame interview on FOX,FOX54 News Huntsville,US,2052575,41059,0,11-02-2025,2025-02-09
cDn_uFEXGXk,Jeep® | Big Game | Harrison Ford x Jeep | Owner’s Manual,Jeep,US,12741105,12893,1647,11-02-2025,2025-02-10
a90_cjTF770,Lucy Dacus - Best Guess (Official Music Video),LucyDacusVEVO,US,185982,24856,1445,11-02-2025,2025-02-10
MgAAbLN7bcE,Email Bill Murray I Yahoo Big Game Commercial 2025,Yahoo,US,7981665,1200,309,11-02-2025,2025-02-10
rI99kfqg9p8,Teaser,VIVINOS,US,939011,163233,13757,11-02-2025,2025-02-10
laB_cIDol4A,February 2025 Update: Minion Prince Now Has PANTS?! | Clash On!,Clash of Clans,US,1955339,43778,2624,11-02-2025,2025-02-10
gqxwX1ZYg58,Lilo & Stitch | Stitch Runs Loose At The Big Game | In Theaters May 23,Disney,US,3494989,26036,1177,11-02-2025,2025-02-09
quS-Ubn1tKA,"DunKings 2: The Movie ft. Ben & Casey Affleck, Jeremy Strong, Bill Belichick, Druski & Donnie",Dunkin',US,581358,3889,0,11-02-2025,2025-02-09
bhquNK7wiQ8,Decoding Kendrick Lamar's Super Bowl Show,XXL,US,58132,1122,148,11-02-2025,2025-02-10
uChGF99DilE,Top 5 Super Bowl 2025 Commercials You Might Have Missed!,SPORTSNET,US,450460,2273,505,11-02-2025,2025-02-10
PQARJT6wGmw,Chiefs' Travis Kelce: 'You don't lose like that without everything going bad',KSHB 41,US,1050368,2332,1644,11-02-2025,2025-02-10
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,MrBeast,US,78510967,3246157,62937,11-02-2025,2025-02-08
siXZYGQshoI,Our Altima Race is Happening (80 Altimas) Here's Mine!,Cleetus2 McFarland,US,853891,38997,2344,11-02-2025,2025-02-10
9HBLzsSC9g0,Chiefs quarterback Patrick Mahomes talks after Super Bowl loss to Eagles,KMBC 9,US,516177,2527,0,11-02-2025,2025-02-10
ZXjRLWMxeho,"Britton Moore Wins a Four-Chair Turn With Coldplay's ""Yellow"" | The Voice Blind Auditions | NBC",The Voice,US,218244,4872,194,11-02-2025,2025-02-11
zT4uqa_hsKM,COME BACK (Studio Box Ep),Saii Kay Music ,US,25640,0,120,11-02-2025,2025-02-06
5T6NMEdu70k,When Hollywood Made Two Asteroid Movies the Same Year,PointlessHub,US,440985,38726,3195,11-02-2025,2025-02-10
kIhb5pEo_j0,ChatGPT | The Intelligence Age,OpenAI,US,430500,7043,766,11-02-2025,2025-02-10
7yxQlU2pMrY,The Rumors are NOT True!,Millennial Farmer,US,212200,20841,428,11-02-2025,2025-02-10
1Tj61bL1Tpg,Training W/ a Real Life Giant (Worlds Tallest Bodybuilder),Jesse James West,US,816989,32651,1423,11-02-2025,2025-02-10
vGnDZdNaETI,"LOVE, HURTS | Jordan Brand",Jordan,US,10117619,22370,748,11-02-2025,2025-02-10
